precinct_text_name,Count
Frontenac 2nd Ward,1008
Frontenac 3rd Ward,432
Frontenac 4th Ward,376
Ft. Leav,1710
Fulton City,118
FV/13,133
GA01,1583
Gaeland,33
Gaillardia - Mission,843
Gale,190
Galesburg,171
Galt Twp,60
Galva City,551
Garden  A2,200
Gardner 0-01,2407
Gardner 0-02,12
Gardner 0-03,1570
Gardner 0-04,1310
Gardner 0-06,2428
Gardner 0-07,33
Gardner 0-08,791
Gardner 0-09,2352
Gardner 0-10,1428
Gardner 0-13,1469
Gardner 0-14,1039
Gardner 0-17,3
Gardner 0-19,350
Gardner 0-20,859
Gardner 0-22,132
Gardner 0-23,2
Gardner 0-25,5
Gardner 0-26,3
Gardner 0-27,2
Gardner Twp 0-01,540
Gardner Twp 0-02,182
Gardner Twp 0-03,261
Gardner Twp 0-04,2
Gardner Twp 0-05,5
Gardner Twp 0-07,2
Gardner Twp 0-08,6
Gardner Twp 0-11,33
Gardner Twp 0-13,1
Gardner Twp 0-14,4
Gardner Twp 0-16,12
Gardner Twp 0-17,3
Gardner Twp 0-18,5
Gardner Twp 0-19,271
Gardner Twp 0-20,2
Gardner Twp 0-21,32
Gardner Twp 0-22,98
Gardner Twp 0-24,2
Gardner Twp 0-25,29
Garfield,588
Garfield 237 Township,7
Garfield 392 Township,24
Garfield City,93
Garfield Twp,93
Garfield Twsp.,92
Garnett City Prec. 1,848
Garnett City Prec. 2,718
Garnett City Prec. 3,650
Garnett City Prec. 4,202
Gas City,346
Gaylord City,69
"GBC-P1,W1",631
"GBC-P1,W2",983
"GBC-P1,W3",712
"GBC-P1,W4",748
"GBC-P2,W1",924
"GBC-P2,W2",882
"GBC-P2,W3",797
"GBC-P2,W4",639
"GBC-P3,W1",656
"GBC-P3,W2",887
"GBC-P3,W3",854
"GBC-P3,W4",312
GD01,534
Gem / Lacey Twp,112
Geneva Twp,103
German Township,23
Gettysburg Township,58
Geuda Springs City,79
Gill,101
Gilman Township,120
Girard 1st Ward,204
Girard 2nd Ward,621
Girard 3rd Ward,439
Girard 4th Ward,609
Glade City,52
Glasco City / Solomon,342
Glen Elder Township,343
Glencoe Twp,143
Glenwood,35
Glenwood S5,472
Glenwood S9,1671
GN01,1132
GN09,2
GN10,2
GN13,2
GO01,59
GO02,141
GO04,176
GO05,1742
GO06,2101
GO08,4
GO11,1
Goessel,377
Goff City,70
Golden Belt Township,33
Gore Twnshp H 79,337
Gore Twnshp H 82,168
Gore Twp H82-32,237
Gorham City,244
Goshen,44
Gove,148
GR01,148
Graham Township,41
Grainfield,253
Granada Township,72
Grandview Plaza Precinct,856
Grandview Twp East H115 B,6
Grandview Twp H115,277
Grandview Twp Ward 2 H115 A,30
Grandview Twp Ward 2 H119 C,49
Granite,21
Grant,1597
Grant / Jamestown City,215
Grant 41,705
Grant 55 H42,80
Grant 55 H45,227
Grant Precinct,29
Grant Township,159
Grant Twp,1190
Grant Twp CC1,148
Grasshopper,281
Great Bend Twp A,978
Great Bend Twp B,146
Greeley City,201
Green,92
Green Garden Twp/Lorraine,49
Green Twp,160
Greene Twnshp,58
Greenfield Township,74
Greenleaf City,158
Greenleaf Precinct,58
Greenwood,28
Greenwood Twp,342
Grenola City,127
Gridley City,215
Grinnell,266
Grove - Grove,560
Grove 42,41
Groveland Twp,121
Guelph Twnshp,114
Guilford TWP,66
Guittard Twp,98
Guittard Twp/Beattie,136
GY01,2211
GY02,318
GY03,69
GY04,108
GY07,245
GY08,109
Gypsum Creek Twp,123
H.C.C. #1,135
H.C.C. #2,623
H.C.C. #3,220
HA/16,257
HA11,1306
HA15,3
HA17,460
HA21,1226
HA24,92
HA25,38
HA27,466
HA31,1428
HA33,125
HA35,164
HA41,1178
HA42,564
Haddam City,59
Haddam Precinct,40
Hallet,32
Halstead 1-1,561
Halstead 1-2,851
Halstead A7,228
Hamilton City,179
Hamlin City,26
"Hamlin Twp, Hamlin",101
"Hamlin Twp, Reserve",68
Hampden Twp.,117
Hampton-Fairview Twsp.,72
Hancock Twp,15
Hanover City,424
Hanover Precinct,165
Hanover Township,31
Happy Township,39
Harlan Township,59
Harmon Twnshp,209
Harmony,64
Harper City,856
Harper Twp,114
Harrison,52
Harrison-Goff,55
Harrison-Kelly,79
Harrison Township,16
Harrison Twp,504
Hartland Twp,81
Harvey,72
Harvey 110 Township,7
Harvey 237 Township,54
Haven City 75,879
Haven H101,231
Haven H114,80
Haviland,368
Haviland A TWP,53
Haviland TWP,101
Hawkeye Twp,21
Hayes,313
Hayes 060,119
Hayes 1,17
Hayes 44,49
Hayes Township,20
Hayes Twp,570
Hays W1 P1,678
Hays W1 P2,826
Hays W2 P1,879
Hays W2 P2,704
Hays W2 P3,555
Hays W2 P4,626
Hays W2 P5,533
Hays W3 P1,587
Hays W3 P2,914
Hays W3 P3,935
Hays W3 P4,2199
Hays W4 P1,739
Hays W4 P2,1024
Hays W4 P3,741
Hays W4 P4,1349
Hays W4 P5,1168
Hazelton Township Prct6,88
HE 110,298
HE 111,991
Hendricks,75
Henry Twp,15
Hepler,79
Herington W1,584
Herington W2,604
Herington W4,378
Herkimer Twp,160
Herl,126
Herndon City,116
Hesston 1-1,1333
Hesston 1-2,1198
Hiawatha - Ward 1,342
Hiawatha - Ward 2,930
Hiawatha - Ward 3,771
Hiawatha - Ward 4,156
Hiawatha Twp,450
Hickory Twp,70
Highland,112
Highland A4,262
Highland City Precinct,435
Highland Country Precinct,272
Highland Precinct,17
Highland Township,71
Highland Twp,71
Highland1 - Prec 1,297
Highland2 - Prec 1,81
Highland3 - Prec 1,82
Highpoint,27
Hill City Township #71,8
Hill City Township #72,58
Hill City Township #73,44
Hillsboro 1st,826
Hillsboro 2nd,896
HO/18,254
Hois- Ward 4,448
Hois - Ward 1,504
Hois - Ward 2,482
Hois - Ward 3,428
HOLCOMB 122,1729
Holland,57
Hollenberg City,9
Holmwood Township,22
Home Township,104
Homestead,37
Homewood Twp,450
Hoosier,108
Hope,79
Hope City,237
Horace City,57
Horton - Ward 1,445
Horton - Ward 2,361
Horton - Ward 3,252
Houston 237 Township,33
Howard City,438
Howard Township,129
Hoyt City,404
HUFFMAN 122,723
Hugoton 1,513
Hugoton 2,830
Hugoton 3,901
Humboldt City,1294
Humboldt Twp,219
Hunnewell City,48
Huntsville 45,93
Huron,125
Huron City,46
Hutchinson 1 H102,566
Hutchinson 1 H102A,36
Hutchinson 10,1050
Hutchinson 11,1048
Hutchinson 12,695
Hutchinson 13 H102,474
Hutchinson 13 H104,327
Hutchinson 14,756
Hutchinson 15,693
Hutchinson 16,1038
