precinct_part_text_name,Count
4/1 501-1,42
4/10 501-1,516
4/11 501-2,143
4/14 501-1,52
4/15 501-2,339
4/2 501-1,699
4/3 501-1,392
4/4 501-1,651
4/6 501-2,590
4/7 501-1,355
4/8 501-1,527
4/9 501-1,497
40 Stinson Creek 450-A,257
40.1,948
4001.1,106
4001.2,2
4002.1,292
4004.1,2
4006.1,134
4007.1,276
401,1108
402,834
403,1025
404 in USD 259-5,1879
404 in USD 259-6,795
405,1601
406,1740
407,201
408,1729
409,957
41 North Tecumseh 450-A,646
410,2293
411,1
412 in USD 259-5,23
412 in USD 261,74
412 in USD 265,3663
413,2438
414,1125
416 in 259-5,1
416 in 261,1193
417 in 259-4,784
417 in 259-5,535
418 in Riverside Drainage Dist,757
418 out RD Drainage Dist 259-4,700
418 out RD Drainage Dist 259-5,379
419 in Riverside Drainage Dist,694
419 outside RD Drainage Dist,590
42 South Tecumseh 450-B,575
420 in Riverside Drainage Dist,724
420 outside RD Drainage Dist,942
422,1204
423,1688
424,873
425 in 259-4 & Riverside Dist,11
425 in 259-4 outside RD Dist,735
425 in 261 & RD Dist,705
425 in 261 outside RD Dist,1194
426,220
429 in USD 259-4,254
429 in USD 259-5,744
43 Pawnee 450-B,771
431,147
433,763
434,2
437,1058
44 Kaw 450-A,732
44.1 Sterling East Ward,929
444,148
445,732
446 in USD 259-5,1
446 in USD 261,286
447 outside RD Drainage Dist,318
448 outside RD Drainage Dist,124
449 in USD 265,691
45 Peck 450-A,442
45.1,1858
45.1 Sterling West Ward,590
46 East Peck 450-A,445
47 Kiowa 450-B,978
47.1,663
48 Cheyenne 450-A,751
48.1,1401
49 Ponca 450-B,429
4A.1,4
4B.1,10
4C.1,7
4th Ward,613
4th Ward/333/MD1/CC2,409
5 Pct 6 Ward,1326
5.1,909
5.1 Center Twp,50
5.1 City of Bushton - USD112-5,179
5.1 Diamond USD 397,9
"5.1 Hallet, C5, 227",32
5.1 Morganville City,138
5.1 North Newton - 373,1371
5.2 Center Twp,123
5.2 Diamond USD 284,118
5.2 Farmer Township USD112-5,28
5.3 Center Twp,129
5.3 Farmer Township USD112-6,55
5.4 Center Twp,61
5.5 Emmett Twp,52
5.6 Emmett Twp,30
5/1 501-1,433
5/10 450-B,711
5/11 450-A,663
5/14 450-A,447
5/15 450-B,195
5/2 501-1,482
5/3 501-1,444
5/4 501-1,449
5/5 501-1,538
5/6 501-1,435
5/7 501-1,413
5/8 450-B,106
5/8 501-1,270
5/9 450-B,438
5/9 501-1,262
5/91 450-B,222
50.01 NBC 489 /110,233
503,2398
504,1627
506,2063
507,1890
508 in USD 259-5,1658
509 in USD 266-1,1627
51.01 WBC 489/110,109
51.1 Big Creek Twp CC1 407,66
51.1 Grant Twp,44
51.4.1 Big Creek Twp CC4 407,50
510,1954
512,4189
513,1891
514,2421
515,2005
516,1261
517,1294
518,1564
519,1805
52 Deer Creek 450-A,14
52 Deer Creek 450-B,21
52.01 HE 432/111,105
52.02 HE/Vic City 432/111,886
52.1 Center Twp CC5 407,116
52.1 Iowa Twp  USD 314,1
52.2 Iowa Twp  USD 352,19
522,1571
523,1500
524,2352
525 in USD 266-1,1836
526 in USD 266-1,2063
526 in USD 266-3,2
527 in USD 266-3,2052
528 in USD 267-2,2
53 Pauline 450-C,266
53.1 Fairfield Twp CC1 407,26
53.1 Itasca Twp,212
530 in USD 265,617
530 in USD 266-1,1353
531,2842
534,241
539 in USD 265,42
539 in USD 266-1,1687
539 in USD 267-2,284
54 West Potter 437-B,96
54.01 SBC 388/110,43
54.02 SBC 489/110,263
54.03 SBC/Schoen 489/110,149
54.1,1297
54.1 Fairview Twp CC3 299,60
54.1 Lincoln Twp,62
541,3
544,257
545,959
549,23
55 Central Pauline 437-B,153
55.01 W BU 388/110,326
55.02 W BU 489/110,28
55.03 W BU 269/110,6
55.1 Grant Twp CC1 407,148
55.1 Llanos Twp  USD 314,26
55.2 Llanos Twp USD 352,4
550 in USD 267-2,71
551 in USD 266-2,10
56 Northwest Monmouth 450-C,527
56.01 W FR 432/110,1
56.02 W FR 489/110,154
56.03 W FR Munj Imprv 489/110,149
56.1 Lincoln Twp CC1 407,85
56.1 Logan Twp,165
57 Northeast Monmouth 450-C,776
57.1 Luray Twp CC3 299,6
57.1 McPherson Twp,21
57.2.1 Luray Twp CC2 299,37
58 South Monmouth 434-1,1
58 South Monmouth 450-C,953
58.1 Paradise Twp CC2 399,72
58.1 Shermanville Twp,24
58.2 Paradise Twp CC2 407,3
58.4 Paradise Twp CC2 407 1215,7
59 N Central Monmouth 450-C,376
59.1 Plymouth Twp CC5 112,78
59.1 Smoky Twp,45
6.1,1042
6.1 Crystal Twp,13
6.1 East Falls CWF City,215
"6.1 North Roscoe, C5, 227",30
6.1 Oak Hill City,21
6.1 Sedgwick City - 439-1,403
6.2 Crystal Twp,5
6.2 Galt Township,8
6.2 Sedgwick City - 439-2,533
6.3 Crystal Twp,4
6.3 Galt Township,4
6.4 Galt Township,26
6.4 Garfield Twp,41
6.5 Galt Township,20
6.5 Rockbranch Twp,12
6.6 Galt Township,2
6.6 Rockwell Twp,5
6.7 Rockwell Twp,7
6.8 Rockwell Twp,7
6/1 501-1,469
6/2 501-1,580
6/3 501-2,502
6/4 501-2,639
6/5 501-2,511
6/6 501-2,425
6/7 437-B,23
6/7 501-2,379
6/8 501-1,718
6/9 437-B,510
6/9 450-C,963
60.1 Russell Twp CC2 407,25
60.1 Stateline Twp,42
60.3.1 Russsell Twp CC3 407,12
60.4.1 Russell Twp CC4 407,20
60.5.1 Russell Twp CC5 407,25
6001.1,389
6001.2,5
6001.3,113
6003.1,33
6003.2,54
6004.1,6
6005.2,24
6008.1,1
601 in USD 259-6,2732
6010.1,16
6011.1,9
6013.1,9
6014.1,5
6016.1,35
6019.1,3
6019.2,8
602 in USD 259-5,1415
602 in USD 259-6,995
6020.1,1
6021.1,19
6024.1,2
6025.1,1
6026.1,6
603 in USD 266-2,668
6032.1,9
6032.2,37
604,2223
605,836
606,741
607,2044
608,1891
609,2573
61.1 Union Twp  USD 314,33
61.2 Union Twp  USD 352,9
61.2.1 Waldo Twp CC2 399,27
61.2.2 Waldo Twp CC2 299,5
61.3 Waldo Twp CC3 407,11
610,1727
611,1232
612,2224
613,1801
614,1231
615,3181
616,1422
617,1058
618,715
619,1824
62 Forbes 450-C,99
62.1 Voltaire Twp,141
62.1 Winterset Twp CC1 407,41
621,666
622 in USD 259-6,1292
622 in USD 262,840
623 in USD 259-6,768
623 in USD 262,1554
624,218
626,20
627,129
629,146
63 Montara 437-B,682
63 Montara 450-C,11
63.1 Washington Twp,57
630 in USD 259-6,5
632 in USD 266-2,843
633,819
634,311
64 Cullen 437-B,766
65 Wakarusa 437-B,592
65 Wakarusa 450-C,146
66 Kingston 450-C,195
6A.1,2
7.1,504
7.1  Walton City - 373,153
